date,dV
01/01/14,25.6
01/02/14,26.2
01/03/14,24.3
01/04/14,26.4
01/05/14,32.7
01/06/14,25.8
01/07/14,23.4
01/08/14,21.6
01/09/14,20.5
01/10/14,28.9
01/11/14,23.6
01/12/14,21.7
01/13/14,21.7
01/14/14,22
01/15/14,19.6
01/16/14,19
01/17/14,18.7
01/18/14,16.9
01/19/14,16
01/20/14,15.2
01/21/14,14.9
01/22/14,13.8
01/23/14,13.6
01/24/14,16.3
01/25/14,13.9
01/26/14,14.6
01/27/14,17.4
01/28/14,14.9
01/29/14,13.6
01/30/14,12.9
01/31/14,12.1
02/01/14,12.2
02/02/14,13.5
02/03/14,11.8
02/04/14,11.7
02/05/14,11.5
02/06/14,11.3
02/07/14,11.1
02/08/14,11.2
02/09/14,12.5
02/10/14,15
02/11/14,18.8
02/12/14,14.8
02/13/14,19.3
02/14/14,22.7
02/15/14,25.9
02/16/14,34.4
02/17/14,27
02/18/14,24.2
02/19/14,22.2
02/20/14,20.5
02/21/14,21.1
02/22/14,18.9
02/23/14,17.5
02/24/14,15.8
02/25/14,14.8
02/26/14,15.9
02/27/14,16.9
02/28/14,15.7
03/01/14,14.7
03/02/14,13.7
03/03/14,13.1
03/04/14,12.3
03/05/14,11.5
03/06/14,10.9
03/07/14,10.4
03/08/14,9.9
03/09/14,9.5
03/10/14,9.19
03/11/14,8.84
03/12/14,8.55
03/13/14,8.35
03/14/14,8.1
03/15/14,7.85
03/16/14,8.25
03/17/14,7.78
03/18/14,7.46
03/19/14,7.28
03/20/14,6.97
03/21/14,6.67
03/22/14,8.5
03/23/14,8.14
03/24/14,7.83
03/25/14,7.34
03/26/14,6.78
03/27/14,6.64
03/28/14,6.55
03/29/14,6.05
03/30/14,5.8
03/31/14,5.58
04/01/14,5.54
04/02/14,5.48
04/03/14,5.29
04/04/14,5.2
04/05/14,5.07
04/06/14,5.08
04/07/14,4.88
04/08/14,5.12
04/09/14,4.73
04/10/14,4.57
04/11/14,4.47
04/12/14,4.38
04/13/14,4.28
04/14/14,4.15
04/15/14,4.12
04/16/14,4.05
04/17/14,4.11
04/18/14,3.94
04/19/14,4.03
04/20/14,4.1
04/21/14,4.01
04/22/14,4.19
04/23/14,4.31
04/24/14,4.23
04/25/14,3.91
04/26/14,3.72
04/27/14,4.48
04/28/14,4.17
04/29/14,5.27
04/30/14,4.4
05/01/14,6.84
05/02/14,8.8
05/03/14,6.69
05/04/14,5.53
05/05/14,4.83
05/06/14,4.49
05/07/14,4.86
05/08/14,5.26
05/09/14,6.13
05/10/14,5.12
05/11/14,7.77
05/12/14,7.49
05/13/14,9
05/14/14,7.96
05/15/14,7
05/16/14,5.99
05/17/14,5.36
05/18/14,4.97
05/19/14,4.8
05/20/14,4.61
05/21/14,4.32
05/22/14,4.22
05/23/14,5.67
05/24/14,7.99
05/25/14,4.85
05/26/14,5.09
05/27/14,4.87
05/28/14,4.5
05/29/14,4.08
05/30/14,3.95
05/31/14,3.84
06/01/14,3.65
06/02/14,3.8
06/03/14,3.85
06/04/14,3.98
06/05/14,4.59
06/06/14,3.59
06/07/14,3.37
06/08/14,3.05
06/09/14,2.91
06/10/14,2.74
06/11/14,3.25
06/12/14,3.21
06/13/14,4.87
06/14/14,2.96
06/15/14,2.81
06/16/14,2.73
