,Q,W
2017/04/01 00:00,10,80
2017/04/01 01:00,10,80.6153846154
2017/04/01 02:00,10,80.2352941176
2017/04/01 03:00,10,80.7407407407
2017/04/01 04:00,10,80
2017/04/01 05:00,10,80.3278688525
2017/04/01 06:00,10,80.6557377049
2017/04/01 07:00,10,80.9836065574
2017/04/01 08:00,10,80.5
2017/04/01 09:00,10,80.5625
2017/04/01 10:00,10,80.9
2017/04/01 11:00,10,80
2017/04/01 12:00,10,80
2017/04/01 13:00,10,80.2222222222
2017/04/01 14:00,10,80
2017/04/01 15:00,10,80.8181818182
2017/04/01 16:00,10,80.4666666667
2017/04/01 17:00,10,80
2017/04/01 18:00,10,80
2017/04/01 19:00,10,80
2017/04/01 20:00,10,80
2017/04/01 21:00,9,79.2352941176
2017/04/01 22:00,10,79
2017/04/01 23:00,9,79.2448979592
2017/04/02 00:00,9,79.6530612245
2017/04/02 01:00,10,79.8125
2017/04/02 02:00,9,79.5
2017/04/02 03:00,9,79.796875
2017/04/02 04:00,10,79.484375
2017/04/02 05:00,10,79.171875
2017/04/02 06:00,10,79.6
2017/04/02 07:00,10,79
2017/04/02 08:00,9,79
2017/04/02 09:00,9,79
2017/04/02 10:00,9,79
2017/04/02 11:00,9,82.3137254902
2017/04/02 12:00,9,83.0980392157
2017/04/02 13:00,10,83.8823529412
2017/04/02 14:00,9,84.8333333333
2017/04/02 15:00,9,84.5
2017/04/02 16:00,9,84.1666666667
2017/04/02 17:00,9,83.4444444444
2017/04/02 18:00,9,82.3333333333
2017/04/02 19:00,9,81.2222222222
2017/04/02 20:00,9,76.8461538462
2017/04/02 21:00,9,74.1724137931
2017/04/02 22:00,9,73
2017/04/02 23:00,9,73
2017/04/03 00:00,9,75.6666666667
2017/04/03 01:00,9,77.5
2017/04/03 02:00,9,78
2017/04/03 03:00,9,78
2017/04/03 04:00,9,78
2017/04/03 05:00,9,78
2017/04/03 06:00,9,78
2017/04/03 07:00,9,77.5476190476
2017/04/03 08:00,9,77.0714285714
2017/04/03 09:00,9,78
2017/04/03 10:00,9,78
2017/04/03 11:00,9,77.6571428571
2017/04/03 12:00,10,77.0857142857
2017/04/03 13:00,7,76.6666666667
2017/04/03 14:00,7,83.2
2017/04/03 15:00,8,83.6
2017/04/03 16:00,8,84
2017/04/03 17:00,8,80
2017/04/03 18:00,9,75.9166666667
2017/04/03 19:00,9,75.0833333333
2017/04/03 20:00,8,74.25
2017/04/03 21:00,8,71
2017/04/03 22:00,8,71
2017/04/03 23:00,8,70.5789473684
2017/04/04 00:00,8,70.45
2017/04/04 01:00,8,71.9230769231
2017/04/04 02:00,8,73.9743589744
2017/04/04 03:00,8,75.7692307692
2017/04/04 04:00,8,76.4047619048
2017/04/04 05:00,8,76.880952381
2017/04/04 06:00,8,77
2017/04/04 07:00,8,76.3846153846
2017/04/04 08:00,8,76.2
2017/04/04 09:00,8,77
2017/04/04 10:00,8,77
2017/04/04 11:00,8,77
2017/04/04 12:00,10,76
2017/04/04 13:00,7,76.7857142857
2017/04/04 14:00,7,76.5454545455
2017/04/04 15:00,8,76.5714285714
2017/04/04 16:00,8,75.85
2017/04/04 17:00,8,75.6
2017/04/04 18:00,8,75.35
2017/04/04 19:00,8,75.1
2017/04/04 20:00,8,75.7741935484
2017/04/04 21:00,8,76.9705882353
2017/04/04 22:00,8,76.3823529412
2017/04/04 23:00,8,76.1891891892
2017/04/05 00:00,8,76.7297297297
2017/04/05 01:00,8,74
2017/04/05 02:00,8,65.5714285714
2017/04/05 03:00,8,65
2017/04/05 04:00,8,65.45
2017/04/05 05:00,8,66.45
2017/04/05 06:00,8,69.1428571429
2017/04/05 07:00,8,71.3333333333
2017/04/05 08:00,8,69.7692307692
2017/04/05 09:00,8,67.4
2017/04/05 10:00,8,65
2017/04/05 11:00,8,69
2017/04/05 12:00,8,74
2017/04/05 13:00,8,74.8333333333
2017/04/05 14:00,8,75.6
2017/04/05 15:00,8,75
2017/04/05 16:00,8,75
2017/04/05 17:00,5,75.6666666667
2017/04/05 18:00,5,76.25
2017/04/05 19:00,7,87.5
2017/04/05 20:00,7,75.6923076923
2017/04/05 21:00,7,69
2017/04/05 22:00,8,69
2017/04/05 23:00,7,67.7857142857
2017/04/06 00:00,7,66.3571428571
2017/04/06 01:00,7,66.75
2017/04/06 02:00,7,72.5454545455
2017/04/06 03:00,7,74.0588235294
2017/04/06 04:00,8,75
2017/04/06 05:00,7,75
2017/04/06 06:00,7,75
2017/04/06 07:00,8,75
2017/04/06 08:00,8,80.5
2017/04/06 09:00,10,86.0769230769
2017/04/06 10:00,6,71
2017/04/06 11:00,6,75
2017/04/06 12:00,7,72
2017/04/06 13:00,8,71.3333333333
2017/04/06 14:00,8,80
2017/04/06 15:00,7,74
2017/04/06 16:00,7,74
2017/04/06 17:00,7,75
2017/04/06 18:00,6,88.5
2017/04/06 19:00,6,79.5
2017/04/06 20:00,7,63.75
2017/04/06 21:00,7,61
2017/04/06 22:00,7,61
2017/04/06 23:00,7,61.8
2017/04/07 00:00,7,63.4615384615
2017/04/07 01:00,7,67.8947368421
2017/04/07 02:00,7,70.6451612903
2017/04/07 03:00,7,71.935483871
2017/04/07 04:00,7,74
2017/04/07 05:00,7,74
2017/04/07 06:00,7,74
2017/04/07 07:00,11,75
2017/04/07 08:00,4,74
2017/04/07 09:00,7,74
2017/04/07 10:00,7,74
2017/04/07 11:00,7,74
2017/04/07 12:00,7,74
2017/04/07 13:00,7,73.2
2017/04/07 14:00,7,73.8235294118
2017/04/07 15:00,7,73.2352941176
2017/04/07 16:00,7,73.4285714286
2017/04/07 17:00,7,73.8666666667
2017/04/07 18:00,7,73.2
2017/04/07 19:00,7,73
2017/04/07 20:00,7,73
2017/04/07 21:00,7,73
2017/04/07 22:00,7,73
2017/04/07 23:00,7,72.4210526316
2017/04/08 00:00,7,72.375
2017/04/08 01:00,7,73
2017/04/08 02:00,7,73
2017/04/08 03:00,7,73
2017/04/08 04:00,7,73
2017/04/08 05:00,7,73
